,Trial,filekey,Phase,Start,End,notes
56,211109_animal_trial_9,01,PAO,2021-11-09 03:53:56.329000+00:00,2021-11-09 04:02:44.394000+00:00,
57,211109_animal_trial_9,01,TIP,2021-11-09 04:35:49.403000+00:00,2021-11-09 04:56:10.310000+00:00,
58,211109_animal_trial_9,01,POUT,2021-11-09 05:01:45.123000+00:00,2021-11-09 05:04:50.780000+00:00,
59,211109_animal_trial_9,02,PIN2,2021-11-09 05:49:48.051000+00:00,2021-11-09 05:50:45.584000+00:00,
60,211109_animal_trial_9,02,LAC,2021-11-09 06:37:52.233000+00:00,2021-11-09 06:46:18.402000+00:00,
61,211109_animal_trial_9,04,TRS,2021-11-09 12:10:37.116000+00:00,2021-11-09 12:18:57.250000+00:00,
62,211116_animal_trial_10,01,PIN,2021-11-16 03:52:28.123000+00:00,2021-11-16 03:54:18.398000+00:00,
63,211116_animal_trial_10,01,TIP,2021-11-16 04:02:14.740000+00:00,2021-11-16 04:08:06.411000+00:00,
65,211116_animal_trial_10,01,POUT,2021-11-16 05:03:30.063000+00:00,2021-11-16 05:05:10.965000+00:00,
66,211116_animal_trial_10,02,PIN2,2021-11-16 05:59:33.357000+00:00,2021-11-16 06:00:50.191000+00:00,
67,211116_animal_trial_10,02,LAC,2021-11-16 06:46:20.674000+00:00,2021-11-16 06:54:03.976000+00:00,
68,211116_animal_trial_10,05,TRS,2021-11-16 10:33:16.787000+00:00,2021-11-16 10:44:10.949000+00:00,
69,211123_animal_trial_11,01,PIN,2021-11-23 03:49:53.835000+00:00,2021-11-23 03:51:23.132000+00:00,
70,211123_animal_trial_11,01,PIN,2021-11-23 03:49:53.835000+00:00,2021-11-23 03:51:23.132000+00:00,
71,211123_animal_trial_11,01,PIN,2021-11-23 03:49:53.835000+00:00,2021-11-23 03:51:23.132000+00:00,
72,211123_animal_trial_11,01,PAO,2021-11-23 04:13:33.107000+00:00,2021-11-23 04:15:41.208000+00:00,"don’t use surgical lights, preemptive cuttoff due to light bump"
74,211123_animal_trial_11,01,blooper,2021-11-23 04:17:32.173000+00:00,2021-11-23 04:17:43.541000+00:00,
75,211123_animal_trial_11,01,POUT,2021-11-23 05:10:31.819000+00:00,2021-11-23 05:11:43.287000+00:00,big obscurance in cn02
76,211123_animal_trial_11,light_camera,blooper,2021-11-23 06:12:52.728000+00:00,2021-11-23 06:12:55.128000+00:00,
77,211123_animal_trial_11,02,LAC,2021-11-23 06:41:03.278000+00:00,2021-11-23 06:44:42.344000+00:00,
78,211123_animal_trial_11,06,TRS,2021-11-23 12:08:55.203000+00:00,2021-11-23 12:14:54.067000+00:00,
